,data,views
0,1999-06-12 00:00:00.000000,1
1,2001-04-23 00:00:00.000000,1
2,2001-11-12 00:00:00.000000,1
3,2003-05-31 00:00:00.000000,1
4,2005-02-21 00:00:00.000000,1
5,2005-03-20 00:00:00.000000,1
6,2005-06-08 00:00:00.000000,1
7,2005-10-15 00:00:00.000000,1
8,2005-12-10 00:00:00.000000,1
9,2006-04-30 00:00:00.000000,1
10,2006-05-21 00:00:00.000000,1
11,2006-06-06 00:00:00.000000,1
12,2006-06-11 00:00:00.000000,1
13,2006-06-23 00:00:00.000000,1
14,2006-07-10 00:00:00.000000,1
15,2006-07-26 00:00:00.000000,1
16,2006-08-01 00:00:00.000000,1
17,2006-08-06 00:00:00.000000,1
18,2006-08-14 00:00:00.000000,1
19,2006-09-14 00:00:00.000000,1
20,2006-10-06 00:00:00.000000,1
21,2006-10-17 00:00:00.000000,1
22,2006-10-27 00:00:00.000000,1
23,2006-11-14 00:00:00.000000,1
24,2006-11-16 00:00:00.000000,1
25,2006-11-18 00:00:00.000000,1
26,2006-11-19 00:00:00.000000,1
27,2006-11-24 00:00:00.000000,1
28,2006-11-26 00:00:00.000000,1
29,2006-12-06 00:00:00.000000,2
30,2007-01-06 00:00:00.000000,1
31,2007-02-06 00:00:00.000000,2
32,2007-02-14 00:00:00.000000,1
33,2007-03-16 00:00:00.000000,1
34,2007-04-03 00:00:00.000000,1
35,2007-05-22 00:00:00.000000,1
36,2007-06-29 00:00:00.000000,1
37,2007-07-15 00:00:00.000000,1
38,2007-07-31 00:00:00.000000,1
39,2007-10-19 00:00:00.000000,1
40,2007-12-27 00:00:00.000000,1
41,2008-01-11 00:00:00.000000,1
42,2008-01-16 00:00:00.000000,1
43,2008-02-04 00:00:00.000000,1
44,2008-02-13 00:00:00.000000,1
45,2008-03-01 00:00:00.000000,1
46,2008-03-07 00:00:00.000000,1
47,2008-03-15 00:00:00.000000,1
48,2008-03-25 00:00:00.000000,1
49,2008-04-21 00:00:00.000000,7
50,2008-05-14 00:00:00.000000,2
51,2008-05-28 00:00:00.000000,1
52,2008-06-11 00:00:00.000000,1
53,2008-06-13 00:00:00.000000,1
54,2008-06-17 00:00:00.000000,1
55,2008-07-14 00:00:00.000000,1
56,2008-07-15 00:00:00.000000,1
57,2008-07-25 00:00:00.000000,1
58,2008-08-05 00:00:00.000000,1
59,2008-10-05 00:00:00.000000,1
60,2008-10-26 00:00:00.000000,1
61,2008-11-02 00:00:00.000000,1
62,2008-11-08 00:00:00.000000,1
63,2008-11-20 00:00:00.000000,1
64,2008-11-21 00:00:00.000000,1
65,2008-11-27 00:00:00.000000,1
66,2008-12-19 00:00:00.000000,1
67,2009-01-17 00:00:00.000000,1
68,2009-01-18 00:00:00.000000,2
69,2009-02-14 00:00:00.000000,1
70,2009-03-15 00:00:00.000000,1
71,2009-03-20 00:00:00.000000,1
72,2009-03-22 00:00:00.000000,1
73,2009-04-25 00:00:00.000000,1
74,2009-04-28 00:00:00.000000,1
75,2009-05-18 00:00:00.000000,2
76,2009-05-24 00:00:00.000000,1
77,2009-05-27 00:00:00.000000,1
78,2009-06-11 00:00:00.000000,1
79,2009-06-12 00:00:00.000000,1
80,2009-06-28 00:00:00.000000,1
81,2009-07-08 00:00:00.000000,1
82,2009-07-13 00:00:00.000000,1
83,2009-08-16 00:00:00.000000,1
84,2009-09-14 00:00:00.000000,1
85,2009-09-24 00:00:00.000000,1
86,2009-09-26 00:00:00.000000,1
87,2009-10-27 00:00:00.000000,1
88,2009-11-13 00:00:00.000000,1
89,2009-12-05 00:00:00.000000,1
90,2009-12-19 00:00:00.000000,1
91,2010-01-02 00:00:00.000000,1
92,2010-03-05 00:00:00.000000,1
93,2010-04-28 00:00:00.000000,1
94,2010-05-07 00:00:00.000000,1
95,2010-05-27 00:00:00.000000,1
96,2010-06-13 00:00:00.000000,1
97,2010-07-27 00:00:00.000000,1
98,2010-08-03 00:00:00.000000,1
99,2010-08-24 00:00:00.000000,1
100,2010-08-30 00:00:00.000000,1
101,2010-09-09 00:00:00.000000,1
102,2010-10-17 00:00:00.000000,1
103,2010-10-22 00:00:00.000000,1
104,2010-10-23 00:00:00.000000,2
105,2011-01-02 00:00:00.000000,1
106,2011-04-03 00:00:00.000000,1
107,2011-05-07 00:00:00.000000,2
108,2011-05-12 00:00:00.000000,1
109,2011-06-30 00:00:00.000000,1
110,2011-08-13 00:00:00.000000,1
111,2011-08-15 00:00:00.000000,1
112,2011-08-27 00:00:00.000000,1
113,2011-11-09 00:00:00.000000,1
114,2011-11-17 00:00:00.000000,1
115,2011-11-24 00:00:00.000000,1
116,2011-12-14 00:00:00.000000,1
117,2011-12-24 00:00:00.000000,1
118,2012-01-01 00:00:00.000000,1
119,2012-01-13 00:00:00.000000,1
120,2012-01-24 00:00:00.000000,2
121,2012-01-31 00:00:00.000000,1
122,2012-02-03 00:00:00.000000,1
123,2012-02-23 00:00:00.000000,1
124,2012-03-09 00:00:00.000000,1
125,2012-03-17 00:00:00.000000,1
126,2012-05-08 00:00:00.000000,1
127,2012-06-07 00:00:00.000000,1
